year,gas_inflation_adjusted_revenue_requirement,electric_inflation_adjusted_revenue_requirement,gas_nonconverts_bill_per_user,gas_converts_bill_per_user,electric_nonconverts_bill_per_user,electric_converts_bill_per_user,gas_variable_cost_per_therm,electric_variable_cost_per_kwh,gas_ratebase,electric_ratebase,gas_depreciation_expense,electric_depreciation_expense
2025,8426.784482758621,189033.5386521739,33.70713793103449,0.0,75.83270626556511,812.4604572961306,0.7490475095785442,1.6756525461533567,75568.96551724138,1851391.3043478262,0.0,0.0
2026,9799.160740061865,416889.24448842724,195.9832148012373,0.0,108.9502429247003,1001.3667701243055,4.355182551138607,2.030034877099418,74003.60837438423,3419784.9802371543,2698.8916256157636,100154.15019762845
2027,8834.96620076889,532419.9350494433,-176.69932401537778,0.0,122.45628691998053,1052.5942414068882,-3.926651644786173,2.1158421326502403,72374.2875,4135936.2466403157,2739.375,192477.23320158102
2028,7939.789077287234,595331.0004080165,-52.931927181914894,0.0,124.06369812918807,1002.5569755241263,-1.1762650484869976,1.9983628026313043,70680.88202229943,4841829.026934962,2779.019790200563,242265.72863816028
2029,7109.360705874385,648103.2550844986,-28.437442823497538,0.0,124.82401451621024,952.6097960884714,-0.6319431738555008,1.8830153366073097,68923.30352270122,5535962.9263131,2817.791729932706,294105.65868056053
2030,6339.647685677018,691696.0009631932,-18.113279101934335,0.0,124.8839068996835,903.6462221101426,-0.4025173133763186,1.771498636190455,67101.49658738279,6216797.542612644,2855.656488158938,348029.70907231956
2031,5626.8405918691205,726996.6290996739,-12.5040902041536,0.0,124.35254457028185,856.1333552214139,-0.27786867120341335,1.6646269121387698,65215.43934971887,6882752.45040497,2892.579686474671,404070.46191089513
2032,4967.343110027719,754825.118276413,-9.031532927323125,0.0,123.31716281154624,810.3178415416086,-0.2007007317182917,1.5627627861054432,63265.144023175315,7532207.203741749,2928.5269167893402,462260.397087819
2033,4357.76158619265,775938.3053145063,-6.704248594142538,0.0,121.85064281823297,766.3237807859402,-0.1489833020920564,1.466022768015731,61250.65742422484,8163501.357426874,2963.463759298118,522631.8948486996
2034,3794.894986022497,791033.9349119024,-5.05985998136333,0.0,120.01558890691504,724.2033897511642,-0.1124413329191851,1.3743832287380857,59172.06148484911,8774934.506644107,2997.355800739105,585217.2395240654
2035,3275.725255573008,800754.4968523706,-3.853794418321186,0.0,117.86671834592693,683.9650273937044,-0.08563987596269301,1.2877387141631835,57029.47375419119,9364766.344734594,3030.168652930654,650048.6244829403
2036,2797.408075473276,805690.858459037,-2.9446400794455534,0.0,115.45237366287155,645.5895543374841,-0.06543644620990119,1.2059357190455842,54823.0478889208,9931216.738881107,3061.867971583252,717158.15836194
2037,2357.2639996457583,806385.7001567737,-2.2450133329959603,0.0,112.8155479845401,609.0403138280577,-0.049889185177688006,1.1287930588913442,52552.97413187447,10472465.823417328,3092.41947538014,786577.8726235743
2038,1952.7699691972366,803336.7619637778,-1.6980608427802057,0.0,109.99462423062481,574.2694483787086,-0.03773468539511568,1.0561145573327142,50219.47977853195,10986654.110440979,3121.788965320633,858339.7304983345
2039,1581.5511916880519,796999.9086586153,-1.2652409533504414,0.0,107.02393716777941,541.2220214126833,-0.028116465630009812,0.9876971433427485,47822.82963089008,11471882.617369017,3149.9423443198516,932475.6373660374
2040,1241.3733756565348,787792.0212687327,-0.9195358338196554,0.0,103.93422032614774,509.83877593134287,-0.020434129640436786,0.9233361099192009,45363.32643829508,11926213.01103141,3176.845637058351,1009017.4526327904
2041,930.1353100253004,776093.7224035624,-0.6414726276036555,0.0,100.75297453256057,480.05802001185214,-0.014254947280081233,0.8628285648171526,42841.31132479462,12347667.767857447,3202.465010074899,1087997.0031608322
2042,645.8617778374933,762251.9428130744,-0.41668501795967305,0.0,97.50478067742004,451.81693739766666,-0.009259667065770513,0.8059757003598598,40257.16420257111,12734230.349664431,3226.766792095414,1169446.0983093893
2043,386.69679365656964,746582.3363939421,-0.23436169312519373,0.0,94.21157112264274,425.052510301923,-0.005208037625004305,0.7525842752081244,37611.30417101884,13083845.394514143,3249.7174945908396,1253396.5466455806
2044,150.89715390557316,709105.7744290913,-0.08622694508889896,0.0,88.36738746787702,388.59634715958555,-0.0019161543353088655,0.6829493187468989,34904.18990102762,13482418.922056204,3271.2838325565026,1251880.1743852855
2045,-63.173710585244585,674517.5955891493,0.03414795166769977,0.0,83.08696730318358,356.4868645085741,0.0007588433703933284,0.62191959674252,32136.320004037774,13932218.552730722,3291.4327455052626,1250288.8456247817
2046,-257.05159051621945,651872.4750019783,0.1318213284698561,0.0,79.43673384018805,332.8460135859692,0.0029293628548856918,0.5764457071171177,29308.23338543181,14388881.34015443,3310.131418666527,1295334.8844248322
2047,-432.1770731586778,629726.0759851652,0.2108180844676477,0.0,75.97180252025441,311.14843635986443,0.004684846321503283,0.5349707837341124,26420.509581830313,14852439.355965452,3327.347304382976,1341773.5108098052
2048,-589.9008470043657,605994.1972756418,0.27437248697877475,0.0,72.42719167137624,290.1807462315242,0.006097166377306105,0.4953374314532384,23473.769081861163,15335082.335716655,3343.0481436966,1377486.3241803737
2049,-731.488746389818,584951.2711932522,0.32510610950658575,0.0,69.30226851076853,271.8337587005201,0.007224580211257462,0.460710863442082,20468.67362997365,15826621.708754508,3357.201988115438,1425135.2059931238
